,Edição,Ano,Estádio,Local,Público pagante
0,I,1930,Estádio Centenário,Montevidéu,68.346
1,II,1934,Estádio do Partido Nacional Fascista,Roma,55.0
2,III,1938,Estádio Olímpico Yves-du-Manoir,Colombes,45.0
3,IV,1950,Estádio do Maracanã,Rio de Janeiro,173.85
4,V,1954,Estádio Wankdorf,Berna,62.5
5,VI,1958,Estádio Råsunda,Solna,49.736999999999995
6,VII,1962,Estádio Nacional de Chile,Santiago,68.679
7,VIII,1966,Estádio de Wembley,Londres,96.92399999999999
8,IX,1970,Estádio Azteca,Cidade do México,107.412
9,X,1974,Estádio Olímpico de Munique,Munique,78.2
10,XI,1978,Estádio Monumental de Núñez,Buenos Aires,71.483
11,XII,1982,Estádio Santiago Bernabéu,Madrid,90.0
12,XIII,1986,Estádio Azteca,Cidade do México,114.6
13,XIV,1990,Estádio Olímpico de Roma,Roma,73.60300000000001
14,XV,1994,Rose Bowl,Pasadena,94.194
15,XVI,1998,Stade de France,Saint-Denis,80.0
16,XVII,2002,Estádio Internacional de Yokohama,Yokohama,69.029
17,XVIII,2006,Estádio Olímpico de Berlim,Berlim,69.0
18,XIX,2010,Soccer City,Joanesburgo,84.49
19,XX,2014,Maracanã,Rio de Janeiro,74.738
20,XXI,2018,Estádio Lujniki,Moscou,78.01100000000001
